#IP, domain
46.239.223.80, dns.flatuslifir.is
2001:678:888:69:c45d:2738:c3f2:1878, dns.flatuslifir.is
3.7.176.123, dns.arapurayil.com
2406:da1a:c59:ae00:2d3a:5b0a:1206:d979, dns.arapurayil.com
5.2.75.75, nl.ahadns.net, doh.nl.ahadns.net
2a04:52c0:101:75::75, nl.ahadns.net, doh.nl.ahadns.net
45.79.120.233, in.ahadns.net, doh.in.ahadns.net
2400:8904:e001:43::43, in.ahadns.net, doh.in.ahadns.net
45.67.219.208, la.ahadns.net, doh.la.ahadns.net
45.132.75.16, pl.ahadns.net, doh.pl.ahadns.net
45.91.95.12, it.ahadns.net, doh.it.ahadns.net
2a0e:dc0:8:12::12, es.ahadns.net, doh.es.ahadns.net
185.175.56.133it, no.ahadns.net, doh.no.ahadns.net
2a0d:5600:30:28::28, no.ahadns.net, doh.no.ahadns.net
193.29.62.196, chi.ahadns.net, doh.chi.ahadns.net
2605:4840:3:c4::c4, chi.ahadns.net, doh.chi.ahadns.net
103.73.64.132, au.ahadns.net, doh.au.ahadns.net
2406:ef80:100:11::11, au.ahadns.net, doh.au.ahadns.net
45.132.74.167, es.ahadns.net, doh.es.ahadns.net
2a0e:dc0:9:17::17, it.ahadns.net, doh.it.ahadns.net
2a0e:dc0:7:d::d, pl.ahadns.net, doh.pl.ahadns.net
2a04:bdc7:100:70::70, la.ahadns.net
185.213.26.187, ny.ahadns.net, doh.eastus.pi-dns.com
2a0d:5600:33:3::3, ny.ahadns.net  
176.9.93.198, dnsforge.de
176.9.1.117, dnsforge.de
2a01:4f8:151:34aa::198, dnsforge.de
2a01:4f8:141:316d::117, dnsforge.de
185.233.107.4, dns.dnshome.de
185.233.106.232, dns.dnshome.de
2a03:4000:24:361::6e73:32, dns.dnshome.de
2a03:4000:24:688::6e73:31, dns.dnshome.de
40.76.112.230, dohtrial.att.net
13.89.120.251, dohtrial.att.net
185.194.94.71, dns.circl.lu
2a00:5980:94::71, dns.circl.lu
185.235.81.1, doh.dnslify.com
2a0d:4d00:81::1, doh.dnslify.com
46.101.66.244, doh.li
5.1.66.255, doh.ffmuc.net
185.150.99.255, doh.ffmuc.net
2001:678:e68:f000::, doh.ffmuc.net
2001:678:ed0:f000::, doh.ffmuc.net
5.1.66.255, dot.ffmuc.net
185.150.99.255, dot.ffmuc.net
2001:678:e68:f000::, dot.ffmuc.net
2001:678:ed0:f000::, dot.ffmuc.net
185.26.126.37, dns.hostux.net
185.26.126.14, dns.hostux.net
2001:4b98:dc2:43:216:3eff:fe86:1d28, dns.hostux.net
74.82.42.42, ordns.he.net
2001:470:20::2, ordns.he.net
116.202.176.26, doh.libredns.gr
74.118.141.85, dns.nextdns.io
204.16.247.177, dns.nextdns.io
2a07:a8c1::, dns.nextdns.io
2a07:a8c0::, dns.nextdns.io
136.144.215.158, doh.powerdns.org
2a01:7c8:d002:1ef:5054:ff:fe40:3703, doh.powerdns.org
115.159.131.230, dns.rubyfish.cn
95.216.229.153, fi.doh.dns.snopyta.org
2a01:4f9:2a:1919::21, fi.doh.dns.snopyta.org
130.59.31.248, dns.switch.ch
130.59.31.251, dns.switch.ch
2001:620:0:ff::3, dns.switch.ch
2001:620:0:ff::2, dns.switch.ch
104.236.178.232, dns.dnsoverhttps.net
2604:a880:1:20::51:f001, dns.dnsoverhttps.net
213.196.189.92, ibksturm.synology.me
2001:470:b616:10:b26e:bfff:fe1d:e19b, ibksturm.synology.me
139.99.222.72, doh-2.seby.io
2001:19f0:5801:1daa:5400:1ff:fe95:cf80, doh-2.seby.io
45.76.113.31, doh-2.seby.io:8443
168.138.243.216, ibuki.cgnat.net
79.110.170.43, us1.dns.lavate.ch
2a0d:1a43:c010:135::, us1.dns.lavate.ch
152.67.165.26, jit.ddns.net
185.43.135.1, odvr.nic.cz
193.17.47.1, odvr.nic.cz
2001:148f:ffff::1, odvr.nic.cz
2001:148f:fffe::1, odvr.nic.cz
152.67.165.26, jit.ddns.net
24.240.146.7, doh-01.spectrum.com
2600:6c7f:f000:202::7, doh-01.spectrum.com
140.82.59.231, dns.moulticast.net
2001:678:d08:ff::53, dns.moulticast.net
2606:4700:3034::ac43:b1fc, doh.post-factum.tk
2606:4700:3037::6815:335a, doh.post-factum.tk
104.21.51.90, doh.post-factum.tk
172.67.177.252, doh.post-factum.tk
139.177.190.196, doh.doh.my.id
45.90.28.0, dns.nextdns.io
45.90.30.0, dns.nextdns.io
76.76.2.11, freedns.controld.com
194.242.2.2, doh.mullvad.net
193.19.108.2, doh.mullvad.net
2a07:e340::2, doh.mullvad.net
193.19.108.3, adblock.doh.mullvad.net
194.242.2.3, adblock.doh.mullvad.net
2a07:e340::3, adblock.doh.mullvad.net
17.253.24.247, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
2a01:b740:a04:4000::1c2, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
2a01:b740:a10:3000::b2, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
2a01:b740:a10:4000::b2, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
17.253.54.119, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
17.253.56.85, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
17.253.56.213, doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.co
193.32.86.1, doh.dns.sb
193.32.86.2, doh.dns.sb
193.32.86.3, doh.dns.sb
193.32.86.4, doh.dns.sb
193.32.86.5, doh.dns.sb
2a09:7:200b::, doh.dns.sb
2a09:7:200b::babe, doh.dns.sb
2a09:7:200b::cafe, doh.dns.sb
2a09:7:200b::dead, doh.dns.sb
2a09:7:200b::feed, doh.dns.sb
